name,url,remote_support,adaptive_support,duration,test_type,description
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,16,"P,Remote,Testing","The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment measures the behaviors that underlie safe performance in a work setting. This solution assesses foundational behaviors including behaving safely in the workplace; complying with rules and regulations; applying domain-related expertise; and attending to multiple tasks. Potential job titles that use this solution include: Machine and Equipment Operators, Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders"
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,No,16,"P,Remote,Testing","The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors that underlie successful and safe performance in an industrial/manufacturing setting. This solution assesses foundational behaviors including behaving safely in the workplace; applying domain-related expertise; offering practical solutions; and attending to multiple tasks. Potential job titles that use this solution include: Machining and Equipment Operators, Laborer/Warehouse, Assemblers and Fitters, Maintenance/Repair Workers, Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders."
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,31,"A,P,Remote,Testing","The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the behaviors that underlie successful and safe performance in an industrial/manufacturing setting. This solution assesses mechanical comprehension and other foundational behaviors including behaving safely in the workplace; applying domain-related expertise; offering practical solutions; and attending to multiple tasks. Potential job titles that use this solution include: Machine and Equipment Operators, Assemblers and Fitters, and Maintenance/Repair Workers."
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,34,"A,P,Remote,Testing","The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the behaviors that underlie successful and safe performance in an industrial/manufacturing setting. This solution assesses process monitoring and other foundational behaviors including behaving safely in the workplace; applying domain-related expertise; offering practical solutions; and attending to multiple tasks. Potential job titles that use this solution include: Machine and Equipment Operators, Assemblers & Fitters, Maintenance/ Repair Workers, Dispatchers, Surveillance, Quality Assurance Workers"
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,Yes,No,9,"K,Remote,Testing","Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management."
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,Yes,No,7,"K,Remote,Testing","Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins."
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,No,7,"K,Remote,Testing","Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science."
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,19,"K,Remote,Testing","Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems."
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,Yes,No,3,"K,Remote,Testing","Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis."
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,10,"K,Remote,Testing","Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy."
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,N/A,"D,Remote,Testing","The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that."
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,N/A,"D,Remote,Testing","This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report."
